Account,date,sentiment_bucket,trades,daily_pnl_usd,avg_trade_size_usd,total_notional_usd,realized_trades,wins,losses,buy_notional_usd,sell_notional_usd,avg_leverage_proxy,p90_leverage_proxy,total_fees_usd,win_rate,long_short_ratio,net_long_bias,cum_pnl_usd,running_peak_usd,drawdown_usd
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-03-19,Fear,162,5304.480047,4703.033148148148,761891.37,112,112,0,337756.95999999996,424134.41,0.9928717497367062,1.0262179299447345,42.4138180394,1.0,0.7963441589188672,-0.11337239585743031,2699.148174,2699.148174,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-03-20,Neutral,1,0.0,84870.0,84870.0,0,0,0,84870.0,-0.0,50.0,50.0,8.487,,,0.9999999999999881,2699.148174,2699.148174,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-03-24,Neutral,23,5070.619785,15004.912173913042,345112.98,17,17,0,85839.99,259272.99000000002,3.276752180030414,2.52205252653919,55.854544000000004,1.0,0.33107956983872483,-0.5025397769739043,7769.767959,7769.767959,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-03-25,Neutral,1,0.0,87100.0,87100.0,0,0,0,87100.0,-0.0,50.0,50.0,8.71,,,0.9999999999999885,7769.767959,7769.767959,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-03-26,Neutral,27,2087.063794,16199.963333333333,437399.01,3,3,0,260762.01,176637.0,5.084170167241509,6.344924165417433,65.774139,1.0,1.4762592775013164,0.19233013353185188,9856.831753,9856.831753,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-03-27,Fear,21,894.0,16543.90380952381,347421.98,6,6,0,173215.97999999998,174205.99999999997,6.543017779812534,21.07202258661477,78.29369,1.0,0.9943169580841074,-0.0028496182078059274,10750.831753,10750.831753,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-03-28,Fear,54,1342.0,6430.7037037037035,347258.0,4,4,0,172700.00000000003,174558.0,2.075160281797804,1.431764201873421,78.365291,1.0,0.9893559733727474,-0.005350488685645732,12092.831753,12092.831753,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-04-03,Fear,8,2020.0,42527.5,340220.0,1,1,0,165500.0,174720.0,14.498059062403675,50.0,34.021999,1.0,0.9472298534798534,-0.027100111692434228,14112.831753,14112.831753,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-04-05,Fear,8,2400.0,41637.49875,333099.99,1,1,0,165199.99000000002,167900.0,7.843278987506457,20.308417008381085,33.309998,1.0,0.983918939845146,-0.00810570423613634,16512.831753,16512.831753,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-04-07,Fear,17,0.0,2238.4694117647055,38053.979999999996,0,0,0,38053.979999999996,-0.0,1.013867478598985,1.0440643406406525,3.805396,,,0.9999999999999738,16512.831753,16512.831753,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-04-11,Fear,7,5246.0,29785.714285714286,208500.0,7,7,0,0.0,208500.0,0.8224284831684147,0.9946172649094921,20.849999,1.0,0.0,-0.9999999999999952,21758.831753,21758.831753,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-04-12,Fear,14,0.0,1435.7078571428572,20099.91,0,0,0,20099.91,-0.0,10.929653944366478,47.14551800000001,0.0066152269999999996,,,0.9999999999999503,21758.831753,21758.831753,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-05,Greed,9,0.0,5556.203333333334,50005.83,0,0,0,25007.21,24998.62,16.750256734988543,50.0,12.501455,,1.000343618967767,0.00017177997045544438,0.0,0.0,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-14,Greed,11,-205.43473700000007,10291.213636363636,113203.35,6,4,2,51407.47,61795.880000000005,9.73876608914829,50.0,28.300831000000002,0.6666666666666666,0.8318915435786334,-0.0917676906204623,-205.43473700000007,0.0,-205.43473700000007
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-15,Greed,2,-24.632033999999997,5304.975,10609.95,2,0,2,10609.95,-0.0,0.18576101908254072,0.3343698343485733,2.652489,0.0,,0.9999999999999057,-230.06677100000007,0.0,-230.06677100000007
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-16,Greed,3,0.0,5116.256666666667,15348.77,0,0,0,15348.77,-0.0,17.879099066223972,40.39787651830531,3.8371890000000004,,,0.9999999999999348,-230.06677100000007,0.0,-230.06677100000007
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-17,Greed,14,304.982785,8305.572857142857,116278.02,11,7,4,50312.21,65965.81,7.691704708896533,35.58343372025544,29.069499,0.6363636363636364,0.7627013145142916,-0.13462217536899806,74.9160139999999,74.9160139999999,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-18,Greed,2,0.0,15582.089999999998,31164.179999999997,0,0,0,31164.179999999997,-0.0,33.711200000000005,46.74224,7.791045,,,0.9999999999999679,74.9160139999999,74.9160139999999,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-19,Greed,15,1000.5386120000001,6106.827333333334,91602.41,10,10,0,29718.92,61883.490000000005,4.184684935845139,1.8557375820585673,22.900596,1.0,0.4802398830447345,-0.35113235557885053,1075.454626,1075.454626,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-20,Greed,18,162.732282,7868.710555555556,141636.79,8,8,0,70737.04,70899.75,9.179228599930301,50.0,35.409187,1.0,0.9977050694819092,-0.0011487834481422891,1238.186908,1238.186908,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-21,Greed,49,537.211402,2555.795306122449,125233.97,27,26,1,62348.400000000016,62885.56999999999,3.995700764601432,1.9114311329847349,31.308469,0.9629629629629629,0.9914579767663714,-0.004289331401056536,1775.39831,1775.39831,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-22,Greed,10,141.832675,8887.428,88874.28,2,2,0,59195.32,29678.96,11.550310518026501,50.0,22.218566000000003,1.0,1.9945213713688081,0.33211363287555934,1917.2309850000001,1917.2309850000001,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-23,Greed,13,146.936704,6033.711538461538,78438.25,8,8,0,24316.62,54121.630000000005,4.637400145187625,1.949102781345544,19.609555,1.0,0.44929578063336223,-0.37998055795481955,2064.167689,2064.167689,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-24,Greed,39,1008.619956,10332.177948717948,402954.94,17,15,2,200973.24,201981.7,9.225632386632114,50.0,100.738715,0.8823529411764706,0.9950071714417691,-0.0025026619601685946,3072.787645,3072.787645,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-25,Greed,3,-245.081348,19982.836666666666,59948.51,1,0,1,30096.86,29851.65,26.511023867651506,45.906614320590904,14.987124999999999,0.0,1.0082142863124819,0.004090343529805746,2827.706297,3072.787645,-245.0813479999997
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-27,Greed,28,-704.8892269999999,6121.823571428571,171411.06,13,4,9,86058.02,85353.04,6.427256277262245,19.6998683068079,42.852747,0.3076923076923077,1.008259576928953,0.004112803456206422,2122.81707,3072.787645,-949.9705749999998
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-28,Greed,23,-970.730876,4352.923913043478,100117.25,13,0,13,50544.009999999995,49573.240000000005,5.2439501975884175,2.1127695464315543,25.0293,0.0,1.019582540903116,0.009696331051841514,1152.086194,3072.787645,-1920.701451
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-29,Greed,50,508.92214299999995,11391.1944,569559.72,20,15,5,309568.7400000001,259990.97999999998,13.761120445607983,50.0,142.389901,0.75,1.1906903077945248,0.08704576229512864,1661.008337,3072.787645,-1411.779308
