Account,active_days,total_trades,avg_trades_per_day,avg_trade_size_usd,avg_leverage_proxy,positive_day_rate,total_pnl_usd,mean_daily_pnl_usd,pnl_volatility_usd,mean_win_rate,leverage_segment,activity_segment,consistency_segment
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,17,3007,176.88235294117646,12657.958003878717,3.4302459049007656,0.4117647058823529,126578.942134,7445.820125529412,16022.499912254798,0.8688811188811189,Low leverage-proxy,Frequent,Inconsistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,47,10206,217.14893617021278,1331.6573591251065,2.0193313166546902,0.7021276595744681,96835.853619,2060.337311042553,2783.210363092454,0.9858986420559827,Low leverage-proxy,Frequent,Consistent winners
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,35,413,11.8,2113.0477659243757,5.837775631995627,0.45714285714285713,72900.115626,2082.8604464571426,7725.683520153727,0.6956521739130435,High leverage-proxy,Infrequent,Inconsistent
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,15,563,37.53333333333333,2959.4760618012087,1.9881808602756375,0.4666666666666667,67845.619531,4523.0413020666665,8542.120511787452,1.0,Low leverage-proxy,Infrequent,Inconsistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,16,482,30.125,10950.762971327225,6.478983633738022,0.5625,14601.148174,912.571760875,1975.204374729902,0.8562367864693446,High leverage-proxy,Infrequent,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,213,11276,52.93896713615023,4691.193963792473,5.207187882859439,0.5117370892018779,1742073.162996,8178.747244112676,42199.45730663646,0.8054566670873945,Low leverage-proxy,Infrequent,Inconsistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,29,4524,156.0,27697.451291023608,3.107334188333538,0.7931034482758621,18470.551893,636.9155825172413,13610.621464884076,0.881425896709213,Low leverage-proxy,Frequent,Consistent winners
0xbaaaf6571ab7d571043ff1e313a9609a10637864,24,16922,705.0833333333334,4122.112182150945,2.109395422553879,0.75,882795.026094,36783.12608725,80288.11316060844,0.9392717240833264,Low leverage-proxy,Frequent,Consistent winners
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,58,2228,38.41379310344828,10314.11532003312,1.5907944046696119,0.27586206896551724,310821.61557100003,5358.993371913793,28017.650010420184,0.5603747066492829,Low leverage-proxy,Infrequent,Inconsistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,105,32041,305.15238095238095,1774.1975359075536,1.610738171096502,0.8,808963.870413,7704.417813457143,28449.30764896877,0.8081690595758012,Low leverage-proxy,Frequent,Consistent winners
