fpr,tpr,threshold
0.17530864197530865,0.31681877444589307,0.5882865084729293
0.18024691358024691,0.31681877444589307,0.587504566466307
0.18024691358024691,0.318122555410691,0.5874435413808994
0.18518518518518517,0.318122555410691,0.5870084769150581
0.18518518518518517,0.3194263363754889,0.5865510223514425
0.18765432098765433,0.3194263363754889,0.586527920128194
0.18765432098765433,0.3246414602346806,0.5842793882261997
0.1925925925925926,0.3246414602346806,0.5834358902638097
0.1925925925925926,0.3259452411994785,0.5831156247327587
0.19506172839506172,0.3259452411994785,0.583099065834767
0.19506172839506172,0.32985658409387225,0.5802898721832359
0.2,0.32985658409387225,0.5794674799014288
0.2,0.33116036505867014,0.579275474172654
0.20246913580246914,0.33116036505867014,0.5788338041717225
0.20246913580246914,0.3389830508474576,0.5764180656561018
